# SOLIS VSM 6302L/core Polar Mean Radial Field Time Series Parameter Data
#
# This file contains a time series of parameter values measured
# from 630.15nm Fe line core magnetograms made with the Vector
# SpectroMagnetograph (VSM) instrument on the Synoptic Optical
# Long-term Investigations of the Sun (SOLIS) telescope.  SOLIS
# was designed and built by the National Solar Observatory (NSO)
# and is operated by the NSO Integrated Synoptic Program (NISP).
# This file was initially created on Sep 1, 2016 at 23:41:08 (UTC)
# and was most recently updated on Nov 4, 2016 at 02:19:33 (UTC),
# with version 1.19 of the routine solis_vsm_meanfield.pro.
#
# The data columns below are described as follows (note that all 
# measurements correspond to longitudes between -50 and 50 degrees):
#
# Column  1: Year of UT observation start date [YYYY]
# Column  2: Month of UT observation start date [MM]
# Column  3: Day of UT observation start date [DD]
# Column  4: UT observation start time [HHMM]
# Column  5: Julian day number for observation midpoint [days]
# Column  6: Mean net magnetic flux for latitudes between -75 and -60 degrees [Gauss]
# Column  7: Error in the mean corresponding to Column 6 [Gauss]
# Column  8: Total number of (Level-2) pixels corresponding to Column 6
# Column  9: Mean net magnetic flux for latitudes between -75 and -65 degrees [Gauss]
# Column 10: Error in the mean corresponding to Column 9 [Gauss]
# Column 11: Total number of (Level-2) pixels corresponding to Column 9
# Column 12: Mean net magnetic flux for latitudes between -70 and -60 degrees [Gauss]
# Column 13: Error in the mean corresponding to Column 12 [Gauss]
# Column 14: Total number of (Level-2) pixels corresponding to Column 12
# Column 15: Mean net magnetic flux for latitudes between 60 and 75 degrees [Gauss]
# Column 16: Error in the mean corresponding to Column 15 [Gauss]
# Column 17: Total number of (Level-2) pixels corresponding to Column 15
# Column 18: Mean net magnetic flux for latitudes between 60 and 70 degrees [Gauss]
# Column 19: Error in the mean corresponding to Column 18 [Gauss]
# Column 20: Total number of (Level-2) pixels corresponding to Column 18
# Column 21: Mean net magnetic flux for latitudes between 65 and 75 degrees [Gauss]
# Column 22: Error in the mean corresponding to Column 21 [Gauss]
# Column 23: Total number of (Level-2) pixels corresponding to Column 21
# Column 24: Data processing version number (Level-2 header keyword VERSION)
#
 2003 10 29 1736 2452942.2375   2.699 0.0797 33972   2.585 0.1261 17058   3.207 0.0815 27848  -2.989 0.0605 53017  -2.285 0.0636 41708  -4.121 0.0913 28659  6.40
 2003 11 04 1725 2452948.2299   3.424 0.0756 35378   4.624 0.1187 17899   3.549 0.0789 28887  -3.077 0.0562 52003  -2.929 0.0612 40983  -4.231 0.0834 28024  6.40
 2003 11 05 2050 2452949.3722   4.546 0.0885 35671   4.940 0.1379 18074   4.858 0.0913 29106  -2.995 0.0625 51818  -2.752 0.0684 40853  -3.100 0.0887 27909  6.40
 2003 11 06 1712 2452950.2208   3.739 0.0773 35868   3.287 0.1240 18191   4.239 0.0802 29252  -3.415 0.0537 51646  -3.116 0.0586 40727  -4.077 0.0757 27802  6.40
 2003 11 08 1809 2452952.2604   3.241 0.0679 36364   3.910 0.1019 18491   3.122 0.0717 29615  -3.475 0.0608 51240  -3.028 0.0675 40432  -3.513 0.0891 27555  6.40
 2003 11 09 1713 2452953.2215   3.972 0.0780 36629   3.431 0.1163 18647   4.155 0.0826 29810  -3.836 0.0572 51079  -3.601 0.0613 40328  -3.972 0.0840 27447  6.40
 2003 11 10 1651 2452954.2063   3.886 0.0842 36884   4.463 0.1296 18797   3.869 0.0879 30000  -4.598 0.0601 50889  -3.986 0.0650 40188  -4.716 0.0855 27333  6.40
 2003 11 14 2216 2452958.4319   4.357 0.0878 37849   4.305 0.1364 19389   4.548 0.0886 30698  -5.564 0.0713 49842  -4.955 0.0754 39427  -6.436 0.1020 26697  6.40
 2003 11 15 1844 2452959.2847   3.498 0.0770 38189   2.991 0.1147 19588   3.552 0.0814 30957  -5.080 0.0646 49809  -4.945 0.0684 39412  -5.238 0.0951 26663  6.40
 2003 11 17 1617 2452961.1829   4.221 0.0874 38692   4.867 0.1369 19890   4.286 0.0905 31327  -5.213 0.0746 49404  -5.090 0.0788 39121  -6.657 0.1149 26413  6.40
 2003 11 18 1826 2452962.2722   3.502 0.0767 38981   3.793 0.1210 20058   3.670 0.0769 31542  -5.748 0.0632 49152  -5.353 0.0689 38934  -7.101 0.0946 26259  6.40
 2003 11 19 1802 2452963.2555   3.141 0.0756 39293   3.688 0.1159 20247   3.409 0.0796 31771  -6.159 0.0745 48984  -6.118 0.0809 38821  -7.104 0.1114 26153  6.40
 2003 11 20 1717 2452964.2243   3.490 0.0872 39551   3.629 0.1367 20402   3.764 0.0946 31954  -5.612 0.0731 48764  -5.614 0.0815 38663  -6.282 0.1107 26015  6.40
 2003 11 22 1852 2452966.2903   4.141 0.0671 39897   4.879 0.0923 20626   4.119 0.0721 32200  -6.541 0.0567 43409  -6.588 0.0602 35549  -7.034 0.0884 21663  6.40
 2003 11 24 1656 2452968.2097   2.759 0.0742 40616   2.636 0.1137 21045   2.542 0.0782 32742  -5.313 0.0735 47801  -5.464 0.0788 37964  -5.963 0.1139 25421  6.40
 2003 11 26 1740 2452970.2403   2.869 0.0810 41175   3.092 0.1264 21377   3.374 0.0857 33149  -4.067 0.0724 47300  -3.704 0.0764 37608  -5.734 0.1118 25121  6.40
 2003 11 27 1702 2452971.2139   4.342 0.0698 41435   4.293 0.1107 21543   4.554 0.0671 33337  -2.796 0.0605 47058  -2.540 0.0644 37424  -4.591 0.0899 24966  6.40
 2003 11 30 1657 2452974.2107   4.923 0.0696 42294   5.131 0.0954 22062   4.794 0.0754 33967  -2.539 0.0824 46358  -2.020 0.0865 36934  -3.708 0.1274 24535  6.40
 2003 12 04 1859 2452978.3025   4.766 0.0698 43360   4.934 0.1050 22718   4.826 0.0735 34742  -3.393 0.0668 45273  -3.578 0.0727 36120  -4.118 0.1017 23884  6.40
 2003 12 04 1943 2452978.3368   4.641 0.0626 43380   5.124 0.0915 22715   4.415 0.0660 34760  -3.888 0.0593 45238  -3.893 0.0644 36110  -4.614 0.0878 23846  6.40
 2003 12 05 1830 2452979.2969   5.547 0.0708 43695   5.672 0.1015 22910   5.396 0.0751 34992  -4.711 0.0715 45078  -4.653 0.0774 35983  -5.720 0.1099 23739  6.40
 2003 12 06 1838 2452980.2805   4.677 0.0705 43993   4.878 0.1013 23093   4.224 0.0757 35213  -4.283 0.0689 44833  -4.003 0.0765 35845  -5.642 0.0981 23564  6.40
 2003 12 07 1614 2452981.1805   4.727 0.0720 44196   4.737 0.0960 23213   4.766 0.0795 35355  -5.216 0.0721 44554  -4.972 0.0802 35619  -6.068 0.0981 23428  6.40
 2003 12 09 1724 2452983.2292   3.739 0.0495 44755   4.143 0.0727 23540   3.634 0.0536 35747  -4.614 0.0558 44006  -4.318 0.0600 35216  -5.298 0.0835 23086  6.40
 2003 12 11 1629 2452985.1910   4.284 0.0652 45299   4.644 0.0976 23890   4.550 0.0704 36159  -5.139 0.0687 43492  -4.828 0.0749 34836  -6.066 0.1037 22787  6.40
 2003 12 13 1750 2452987.2472   4.289 0.0527 45837   4.105 0.0768 24206   4.355 0.0577 36560  -4.405 0.0642 42946  -3.702 0.0693 34447  -4.703 0.0992 22451  6.40
 2003 12 14 1640 2452988.1989   4.234 0.0712 46176   3.398 0.0987 24409   4.764 0.0804 36804  -4.076 0.0800 42775  -3.624 0.0828 34334  -4.921 0.1202 22335  6.40
 2003 12 15 1812 2452989.2628   3.152 0.0621 46479   2.774 0.0865 24595   3.513 0.0693 37026  -5.173 0.0479 42503  -4.406 0.0505 34125  -5.322 0.0691 22170  6.40
 2003 12 16 1816 2452990.2656   3.809 0.0581 46692   3.576 0.0864 24733   4.420 0.0643 37181  -4.888 0.0573 42197  -4.677 0.0590 33906  -5.286 0.0837 21987  6.40
