# SOLIS VSM 6302L/core Polar Mean Radial Field (Filtered) Time Series Parameter Data
#
# This file contains a filtered time series of parameter values measured
# from 630.15nm Fe line core magnetograms made with the Vector
# SpectroMagnetograph (VSM) instrument on the Synoptic Optical
# Long-term Investigations of the Sun (SOLIS) telescope.  SOLIS
# was designed and built by the National Solar Observatory (NSO)
# and is operated by the NSO Integrated Synoptic Program (NISP).
# This file was created on Nov 4, 2016 at 02:19:42 (UTC) with
# version 1.3 of the routine solis_vsm_polarfield_filter.pro.
#
# The data columns below are described as follows (note that all 
# measurements correspond to longitudes between -50 and 50 degrees):
#
# Column  1: UT year [YYYY]
# Column  2: UT month [MM]
# Column  3: UT day [DD]
# Column  4: UT time [HHMM]
# Column  5: Julian day number corresponding to columns 1-4 [days]
# Column  6: Mean net magnetic flux for latitudes between -75 and -60 degrees [Gauss]
# Column  7: Error in the mean corresponding to Column 6 [Gauss]
# Column  8: Mean net magnetic flux for latitudes between -75 and -65 degrees [Gauss]
# Column  9: Error in the mean corresponding to Column 8 [Gauss]
# Column 10: Mean net magnetic flux for latitudes between -70 and -60 degrees [Gauss]
# Column 11: Error in the mean corresponding to Column 10 [Gauss]
# Column 12: Mean net magnetic flux for latitudes between 60 and 75 degrees [Gauss]
# Column 13: Error in the mean corresponding to Column 12 [Gauss]
# Column 14: Mean net magnetic flux for latitudes between 60 and 70 degrees [Gauss]
# Column 15: Error in the mean corresponding to Column 14 [Gauss]
# Column 16: Mean net magnetic flux for latitudes between 65 and 75 degrees [Gauss]
# Column 17: Error in the mean corresponding to Column 16 [Gauss]
#
 2004 05 10 1200 2453136.0000   4.686 0.0346   5.232 0.0543   4.480 0.0438  -4.136 0.0410  -3.665 0.0461  -5.172 0.0474
 2004 05 11 1200 2453137.0000   4.688 0.0345   5.236 0.0541   4.480 0.0438  -4.133 0.0411  -3.661 0.0461  -5.169 0.0474
 2004 05 12 1200 2453138.0000   4.690 0.0344   5.241 0.0540   4.481 0.0438  -4.130 0.0411  -3.658 0.0461  -5.165 0.0475
 2004 05 13 1200 2453139.0000   4.690 0.0344   5.243 0.0540   4.481 0.0438  -4.125 0.0409  -3.653 0.0460  -5.160 0.0474
 2004 05 14 1200 2453140.0000   4.694 0.0343   5.249 0.0537   4.484 0.0437  -4.123 0.0408  -3.650 0.0458  -5.158 0.0474
 2004 05 15 1200 2453141.0000   4.696 0.0342   5.252 0.0535   4.485 0.0437  -4.120 0.0408  -3.648 0.0458  -5.155 0.0475
 2004 05 16 1200 2453142.0000   4.697 0.0342   5.254 0.0535   4.485 0.0437  -4.114 0.0407  -3.641 0.0456  -5.147 0.0473
 2004 05 17 1200 2453143.0000   4.698 0.0341   5.254 0.0535   4.486 0.0437  -4.110 0.0404  -3.638 0.0454  -5.140 0.0469
 2004 05 18 1200 2453144.0000   4.697 0.0342   5.253 0.0537   4.484 0.0438  -4.104 0.0400  -3.631 0.0448  -5.135 0.0466
 2004 05 19 1200 2453145.0000   4.700 0.0340   5.258 0.0535   4.485 0.0438  -4.097 0.0398  -3.623 0.0445  -5.128 0.0465
 2004 05 20 1200 2453146.0000   4.702 0.0340   5.262 0.0534   4.485 0.0438  -4.094 0.0398  -3.619 0.0445  -5.125 0.0466
 2004 05 21 1200 2453147.0000   4.702 0.0340   5.263 0.0534   4.484 0.0438  -4.082 0.0394  -3.607 0.0438  -5.114 0.0466
 2004 05 22 1200 2453148.0000   4.704 0.0339   5.267 0.0533   4.485 0.0438  -4.076 0.0397  -3.601 0.0439  -5.107 0.0470
 2004 05 23 1200 2453149.0000   4.708 0.0335   5.276 0.0528   4.488 0.0436  -4.066 0.0399  -3.590 0.0438  -5.099 0.0472
 2004 05 24 1200 2453150.0000   4.710 0.0335   5.282 0.0528   4.488 0.0436  -4.058 0.0404  -3.581 0.0443  -5.092 0.0476
 2004 05 25 1200 2453151.0000   4.714 0.0331   5.289 0.0525   4.490 0.0435  -4.056 0.0404  -3.579 0.0444  -5.087 0.0476
 2004 05 26 1200 2453152.0000   4.715 0.0331   5.292 0.0524   4.488 0.0435  -4.058 0.0403  -3.580 0.0443  -5.086 0.0477
 2004 05 27 1200 2453153.0000   4.718 0.0331   5.298 0.0523   4.491 0.0435  -4.052 0.0405  -3.574 0.0445  -5.081 0.0478
 2004 05 28 1200 2453154.0000   4.720 0.0330   5.304 0.0523   4.490 0.0436  -4.050 0.0405  -3.571 0.0445  -5.080 0.0479
 2004 05 29 1200 2453155.0000   4.719 0.0330   5.307 0.0523   4.488 0.0436  -4.055 0.0403  -3.575 0.0443  -5.084 0.0477
 2004 05 30 1200 2453156.0000   4.721 0.0330   5.315 0.0524   4.487 0.0436  -4.054 0.0402  -3.574 0.0442  -5.081 0.0477
 2004 05 31 1200 2453157.0000   4.722 0.0329   5.319 0.0522   4.487 0.0436  -4.050 0.0403  -3.571 0.0442  -5.078 0.0478
 2004 06 01 1200 2453158.0000   4.723 0.0329   5.324 0.0521   4.486 0.0436  -4.047 0.0403  -3.567 0.0442  -5.075 0.0478
 2004 06 02 1200 2453159.0000   4.726 0.0330   5.328 0.0523   4.488 0.0437  -4.048 0.0403  -3.567 0.0442  -5.077 0.0478
 2004 06 03 1200 2453160.0000   4.724 0.0329   5.326 0.0523   4.486 0.0436  -4.047 0.0402  -3.563 0.0441  -5.075 0.0478
 2004 06 04 1200 2453161.0000   4.726 0.0330   5.330 0.0523   4.487 0.0436  -4.047 0.0402  -3.563 0.0441  -5.074 0.0477
